user,item,Time
13499,4728,"01 7, 2015"
6697,5968,"02 22, 2017"
2125,10823,"02 6, 2016"
13675,8134,"08 31, 2015"
2853,11495,"06 12, 2016"
6748,727,"05 20, 2014"
2617,1661,"01 26, 2016"
7930,12145,"06 3, 2015"
2155,6669,"02 4, 2017"
10770,7170,"08 1, 2014"
11908,8349,"02 9, 2016"
10840,8956,"08 5, 2014"
13970,6634,"09 12, 2017"
14677,14164,"08 20, 2016"
1734,5420,"10 10, 2012"
4699,11733,"05 5, 2015"
4356,3255,"03 3, 2014"
3896,235,"12 18, 2012"
10101,7436,"01 19, 2014"
11977,8502,"05 31, 2017"
10367,13205,"06 1, 2016"
5732,2482,"12 3, 2006"
1313,1816,"10 14, 2016"
14778,10443,"07 11, 2014"
13753,8012,"09 24, 2013"
3440,4500,"07 1, 2014"
3617,10233,"05 30, 2015"
204,2763,"02 2, 2015"
14117,10197,"02 4, 2013"
3274,7150,"09 21, 2010"
4195,587,"10 15, 2014"
4328,1218,"10 5, 2016"
4050,10289,"04 26, 2016"
833,10193,"10 31, 2012"
14564,9703,"09 28, 2014"
2605,150,"07 22, 2014"
12209,12028,"04 7, 2015"
1280,1114,"12 10, 2014"
3408,6522,"08 30, 2013"
11036,10604,"03 10, 2014"
2182,4577,"12 6, 2016"
12424,13434,"01 14, 2017"
15019,8299,"12 8, 2016"
11122,6478,"01 10, 2016"
4332,12997,"06 15, 2017"
5721,11554,"12 20, 2015"
5341,11031,"01 17, 2014"
7774,9052,"11 21, 2017"
638,1137,"07 26, 2005"
370,1982,"07 14, 2010"
7856,4093,"07 4, 2015"
528,2071,"03 23, 2012"
8228,11972,"03 28, 2017"
4525,9841,"01 2, 2013"
2993,6034,"02 7, 2013"
482,21,"04 21, 2016"
8092,3255,"02 22, 2015"
11894,14032,"03 5, 2016"
6025,10020,"03 21, 2017"
859,1967,"04 24, 2009"
9546,8533,"06 21, 2015"
4975,5985,"12 11, 2013"
2378,8426,"09 28, 2017"
13321,9927,"10 29, 2014"
10320,2426,"10 6, 2017"
2860,8839,"03 31, 2015"
9147,3742,"01 31, 2016"
397,6906,"09 24, 2016"
9301,1297,"03 20, 2014"
14149,10649,"01 13, 2014"
12461,3346,"08 20, 2014"
8129,8612,"04 5, 2017"
317,8855,"10 7, 2016"
3381,13452,"01 31, 2017"
8185,13933,"09 15, 2015"
13774,11204,"12 18, 2014"
14497,14293,"06 20, 2017"
481,11397,"08 16, 2015"
2687,12540,"08 24, 2016"
8100,8234,"08 28, 2015"
2512,157,"02 13, 2015"
5437,5750,"10 24, 2014"
9458,7646,"08 9, 2016"
6494,4392,"11 30, 2013"
10826,13647,"01 18, 2018"
9082,798,"02 28, 2018"
132,6792,"09 2, 2016"
9219,1826,"09 28, 2017"
9118,14669,"03 13, 2016"
2793,13420,"03 3, 2016"
554,135,"08 6, 2009"
1934,9794,"08 19, 2012"
8015,11199,"03 25, 2014"
1872,1483,"05 28, 2014"
8101,9852,"03 29, 2015"
11322,2812,"05 7, 2009"
2635,6689,"07 30, 2015"
7413,5855,"03 25, 2018"
669,7715,"06 9, 2016"
2562,6676,"04 24, 2013"
8266,1032,"07 14, 2014"
7456,4430,"10 2, 2014"
10794,5922,"06 1, 2017"
7951,11710,"09 30, 2014"
858,2497,"07 8, 2010"
10319,7581,"05 22, 2016"
12215,12774,"04 2, 2018"
7834,15221,"07 9, 2017"
9761,14279,"12 9, 2015"
14048,14132,"02 11, 2017"
2992,11680,"11 11, 2016"
5234,1841,"12 8, 2013"
12700,10601,"06 17, 2013"
7984,6597,"10 25, 2016"
7092,6896,"04 13, 2013"
14746,9334,"01 30, 2015"
2785,1768,"01 31, 2017"
3273,3260,"07 27, 2016"
1161,14911,"05 25, 2013"
6253,635,"02 23, 2013"
505,2506,"06 6, 2016"
4266,6689,"04 2, 2014"
12801,5900,"09 21, 2016"
13334,13649,"02 1, 2016"
3721,220,"09 16, 2015"
12866,12648,"09 20, 2016"
7612,11591,"05 20, 2014"
10484,8136,"09 8, 2015"
7490,1006,"08 30, 2015"
3491,10029,"04 24, 2018"
11285,8057,"07 26, 2017"
4193,13199,"04 27, 2013"
3349,12160,"03 9, 2017"
6402,9708,"03 12, 2014"
7208,9132,"10 18, 2016"
4922,13459,"03 4, 2017"
3794,227,"08 28, 2017"
8474,8368,"01 18, 2017"
570,1316,"02 4, 2000"
2101,15083,"01 11, 2018"
8099,14716,"04 10, 2017"
3375,7277,"07 29, 2013"
13767,12472,"01 22, 2017"
11241,8552,"08 8, 2013"
7694,14564,"04 1, 2018"
7906,3919,"10 20, 2017"
13991,7936,"11 6, 2014"
12930,8059,"06 5, 2015"
3345,5842,"06 29, 2014"
1691,4574,"04 29, 2017"
7307,14120,"04 11, 2018"
13239,11409,"02 17, 2015"
7599,13733,"06 12, 2015"
8909,4906,"05 16, 2014"
8228,11175,"12 10, 2015"
12704,3477,"07 30, 2016"
8317,9393,"06 28, 2014"
11175,12709,"11 8, 2016"
1246,5451,"05 17, 2009"
205,212,"02 16, 2005"
8056,9969,"06 9, 2015"
13848,11059,"02 3, 2014"
4282,276,"04 9, 2015"
7627,13724,"01 1, 2014"
8515,13361,"03 4, 2016"
14398,5945,"02 16, 2010"
766,5300,"11 2, 2012"
14026,12114,"10 22, 2017"
2944,3307,"07 5, 2017"
6259,839,"05 23, 2014"
10725,13323,"04 3, 2015"
13109,9735,"08 2, 2017"
2105,7327,"09 7, 2013"
9978,9128,"03 22, 2013"
5123,13172,"08 13, 2015"
1990,4984,"03 30, 2013"
13555,4856,"08 9, 2016"
363,2968,"12 11, 2011"
10288,1781,"06 2, 2013"
3750,6089,"04 20, 2013"
12332,8176,"02 23, 2018"
4625,3256,"12 27, 2012"
1692,7408,"02 3, 2016"
219,1192,"08 12, 2010"
2853,12277,"11 29, 2015"
1572,6451,"09 15, 2012"
1295,5745,"12 31, 2013"
14753,8466,"02 14, 2018"
6961,9397,"03 2, 2014"
8317,12132,"12 13, 2015"
941,365,"11 16, 2017"
1403,14290,"07 26, 2017"
6332,13989,"05 4, 2016"
5458,4419,"01 23, 2014"
1539,10210,"03 28, 2014"
1851,12058,"05 31, 2016"
2920,12236,"01 19, 2017"
15108,8485,"10 6, 2017"
135,180,"08 2, 2016"
1170,5729,"08 31, 2008"
7592,1610,"06 3, 2016"
14001,11160,"09 1, 2014"
7548,13171,"07 24, 2011"
9361,3132,"11 15, 2015"
14096,10408,"12 8, 2012"
6934,750,"01 28, 2013"
7515,14047,"11 27, 2016"
14616,7045,"10 9, 2017"
10056,5166,"11 4, 2009"
2079,13067,"02 8, 2012"
2183,6908,"08 1, 2014"
12018,8020,"02 1, 2014"
1654,2911,"08 20, 2013"
5380,5680,"11 25, 2016"
5634,4649,"07 21, 2013"
14459,8138,"04 25, 2018"
2009,3893,"08 11, 2017"
13527,10179,"01 21, 2014"
863,1758,"10 26, 2015"
7373,14285,"04 25, 2017"
10356,13953,"09 18, 2015"
3366,7855,"11 9, 2013"
6160,2781,"10 29, 2017"
301,1332,"01 23, 2002"
8381,9821,"04 24, 2016"
9495,5281,"06 1, 2010"
10031,11970,"06 8, 2016"
2543,13477,"01 28, 2016"
7403,11637,"10 27, 2015"
241,2335,"04 1, 2017"
5785,13231,"11 28, 2014"
2228,7532,"03 26, 2011"
6111,5721,"09 7, 2016"
212,10239,"07 9, 2014"
1926,2557,"11 21, 2013"
11405,3721,"09 1, 2014"
10584,2546,"10 16, 2009"
14931,8359,"09 15, 2015"
8178,12088,"03 20, 2017"
5321,7102,"07 13, 2015"
14185,8212,"01 31, 2014"
501,1374,"05 27, 2017"
14440,12371,"11 21, 2015"
2866,8824,"05 7, 2017"
10699,11676,"10 10, 2016"
8998,12867,"03 15, 2017"
1479,11747,"05 5, 2015"
11619,10903,"08 15, 2015"
3945,9152,"01 14, 2014"
8030,9510,"09 20, 2014"
8984,3737,"01 24, 2014"
3050,4184,"07 3, 2017"
14281,10642,"11 6, 2013"
13697,14883,"05 14, 2015"
3996,1851,"11 17, 2014"
12273,14640,"11 2, 2016"
13686,5098,"11 23, 2015"
13329,12569,"02 18, 2017"
10840,5448,"04 23, 2014"
236,2438,"12 22, 2014"
7458,4484,"04 3, 2015"
11675,8368,"01 25, 2017"
10375,3884,"09 1, 2015"
2742,14476,"11 20, 2017"
2215,13255,"11 5, 2012"
2431,5821,"12 8, 2014"
11005,6563,"05 13, 2016"
6978,756,"07 15, 2014"
3970,5811,"08 14, 2015"
7538,4402,"02 5, 2014"
12292,7691,"02 18, 2013"
13340,5064,"12 25, 2013"
11031,12451,"03 15, 2016"
11460,10597,"09 22, 2013"
1952,6004,"03 26, 2017"
7572,5545,"03 5, 2012"
1611,4680,"08 7, 2008"
13287,10095,"11 27, 2013"
7502,7964,"04 16, 2013"
1043,12477,"12 4, 2016"
12928,9832,"03 12, 2014"
4434,1176,"07 26, 2015"
13517,11741,"02 19, 2018"
7706,5627,"12 18, 2013"
7252,10027,"03 6, 2013"
10466,12909,"10 12, 2017"
1908,4188,"09 18, 2017"
888,2507,"11 26, 2014"
10624,7209,"02 20, 2011"
844,5213,"11 10, 2017"
6638,3503,"09 29, 2017"
8097,9552,"01 14, 2013"
7200,8495,"10 3, 2017"
3974,4130,"08 16, 2016"
5707,4144,"01 23, 2016"
14846,13199,"10 2, 2016"
2623,10430,"04 12, 2018"
6375,8001,"03 1, 2015"
9823,3806,"03 9, 2018"
9147,12077,"08 24, 2015"
13991,12610,"04 26, 2017"
13763,13560,"06 16, 2016"
7173,8581,"05 4, 2014"
13559,4831,"06 17, 2015"
13797,7132,"03 10, 2015"
15027,8140,"03 21, 2016"
12122,4500,"01 20, 2016"
3680,8168,"03 3, 2016"
2161,10862,"02 18, 2015"
9218,9861,"03 11, 2016"
204,10,"02 2, 2015"
12457,12708,"01 19, 2018"
8575,6883,"10 9, 2017"
4767,361,"03 26, 2015"
5093,4905,"12 17, 2014"
13039,4195,"04 16, 2018"
2273,1896,"04 7, 2008"
13278,13800,"05 15, 2016"
14830,12678,"10 5, 2016"
9972,5776,"12 27, 2012"
12632,12756,"02 12, 2017"
4967,14405,"01 19, 2018"
1463,11834,"12 11, 2015"
2316,8952,"02 26, 2012"
7217,5164,"11 25, 2016"
351,3655,"01 27, 2001"
10293,7830,"04 12, 2014"
2020,11208,"02 8, 2018"
3376,14084,"07 26, 2014"
12696,15244,"08 20, 2018"
12662,4893,"03 21, 2015"
14757,8185,"05 17, 2017"
8193,6765,"11 17, 2015"
2381,4064,"02 13, 2016"
5221,5742,"07 24, 2000"
58,12252,"11 23, 2015"
8015,5672,"04 27, 2014"
8337,6789,"11 2, 2015"
6380,10045,"03 21, 2013"
3657,906,"11 26, 2015"
14249,5669,"02 3, 2014"
1785,5124,"05 26, 2013"
6752,10481,"09 30, 2013"
3475,9394,"03 1, 2016"
3342,10701,"06 2, 2014"
2154,11815,"01 30, 2018"
2151,11134,"09 7, 2014"
6633,12910,"01 11, 2018"
1724,2180,"09 15, 2012"
449,2443,"11 7, 2013"
2390,428,"10 8, 2016"
3247,3301,"02 3, 2012"
9518,4672,"11 12, 2015"
3208,8841,"11 21, 2014"
6572,4930,"08 5, 2014"
13551,8356,"10 8, 2016"
9116,12076,"08 23, 2015"
2756,4649,"08 27, 2010"
499,2658,"11 3, 2014"
