user,item
258,8422
11750,13770
13885,7752
15161,15236
4811,14746
19920,9353
8232,4200
2648,12983
1097,14326
2792,525
15739,14503
13009,5882
9980,12147
5977,16060
5539,16519
15830,14614
11755,9703
4510,1134
12631,4441
7375,16338
2495,11067
5835,2408
6435,1389
17019,14930
9125,14866
718,337
17119,1417
921,14963
22307,14890
10499,15866
4540,15683
11915,7426
11286,12938
3941,15309
11402,12108
1330,10666
12986,14705
1562,15316
19787,8008
19616,11381
7868,9085
5109,16013
4051,12914
20669,12361
5969,13593
19286,13600
10868,15904
21259,15202
12031,8607
11298,4424
16780,14615
22401,11868
14928,10509
16994,11194
6450,4324
2846,10902
7414,369
20128,15330
931,1171
8558,14260
17069,11904
18684,7822
1688,3039
15743,6509
8689,8519
16252,11511
10143,16092
12341,10050
8692,8576
1369,454
16656,9432
22123,15573
1259,11844
3209,3289
2133,8238
19003,5259
438,15996
17579,16118
2502,9222
11008,552
15948,15055
17047,13481
9274,3478
5175,16120
2299,10379
16647,9471
18423,1886
3396,10131
7497,9465
6749,14499
8867,9664
8920,1396
4510,3913
11659,1980
9155,10355
7820,387
1499,12823
19083,8106
3439,7731
17078,16204
16855,14941
10102,11780
5250,9655
18722,11292
8685,435
19306,6150
5682,2315
8423,4311
14685,15310
17919,14891
10538,6524
15614,4736
289,14217
17099,16407
13732,832
9002,15426
505,9469
1402,12197
11487,9826
17566,11467
10671,6743
10250,13733
12423,15928
560,25
20863,13256
8658,8203
19522,2449
1945,11058
955,14885
5518,14608
5155,13745
4183,198
1290,4358
16880,14093
6282,7422
22046,4812
2656,3771
1241,12597
1138,2492
6267,4002
21272,13769
9083,13227
12300,10065
16495,10485
17757,15830
22095,16125
2979,16362
18742,11605
7706,11740
20814,11413
49,10188
860,16318
3468,12862
16252,5348
1041,6766
3782,14559
17739,11666
19661,16201
7115,352
21684,10479
9707,2875
1445,10728
1903,14472
2220,9944
17554,4339
3479,15908
1784,3478
11005,10086
7103,5224
4514,3980
16296,6723
7562,15101
1497,12523
13122,6310
18242,1793
8122,4562
7285,5894
8003,14635
3900,3468
10544,1063
597,5591
22406,14503
2894,463
198,1296
1978,4974
5715,8965
17492,14550
22478,14582
7315,11698
5360,13135
19022,9884
1464,15178
1771,2724
13656,818
7767,2258
18728,12245
16772,14757
5155,14755
10057,3791
18145,16129
7308,3903
4638,13548
6915,14987
223,15569
6471,6198
16325,4387
14200,5360
656,11940
446,2464
1478,16188
19548,15981
10868,14450
8046,5774
20968,3275
13661,1220
18921,13815
20858,15429
4558,4281
8625,3498
1903,13329
22570,11812
2130,14114
2649,8104
5277,15707
3034,1150
11323,1210
1073,10450
3737,6999
6492,3927
6960,11582
2161,13562
6231,4784
1900,13471
15316,1171
8606,9242
10726,1650
10792,10701
5712,7595
3243,8433
18800,6976
7931,10178
2408,16511
6708,11331
10997,3627
20068,2926
9463,16008
9091,6036
3818,2945
11041,4985
19235,10577
14324,13424
1215,15223
13235,14345
11747,16189
4449,6125
7977,14073
15537,3633
17844,2838
14007,11221
20594,13314
21401,15927
6409,12034
10344,16545
2797,4688
12536,8924
9004,7748
12465,9880
12388,14773
550,16029
5347,9894
5440,11211
7885,11045
3911,14624
16430,1672
6913,8183
1852,1395
12394,14142
1288,16492
9840,14449
8370,12065
17966,5413
1779,16011
120,11360
1166,16336
1831,5589
9322,14564
9695,3196
2464,2837
6948,7583
1228,16205
1566,2408
8352,10897
3478,13076
20756,12282
9689,15725
1003,15202
3319,13082
9134,15170
16136,14977
1547,13051
19789,13079
20008,11617
3834,3569
954,10874
4756,7511
17492,14544
3662,9373
21622,7362
19195,16276
8637,13822
416,8144
14625,15194
12980,772
1425,7738
16013,16241
5056,7318
6895,16295
20190,2693
17396,1468
7219,1189
9030,1337
2989,15278
20254,3968
12917,8826
14712,13190
3080,10165
7248,7548
21903,16369
14042,16040
4716,240
6595,448
4583,10077
12950,16322
865,2605
9212,13610
16127,5064
7157,625
2802,1210
705,4539
125,14346
12786,1316
1543,6018
4445,12279
4533,9026
1858,5312
10134,15796
7754,14577
11269,10035
16859,14718
1699,10618
17232,1432
8285,2700
16920,13374
17166,11819
22,13387
1969,15116
3921,1200
13630,12598
721,7831
3071,5427
14954,16493
9412,2592
3931,10819
4475,12377
18729,13558
9972,2714
3630,2348
20231,2949
16157,15181
17890,16145
4873,2218
11998,9229
5964,7268
1394,4493
4769,14402
6970,9181
14993,1134
2472,15377
11502,16158
14500,12863
10240,2651
8155,13796
10500,12012
429,6203
188,10737
5616,10473
10415,16158
18902,8768
5005,15241
7346,10293
14198,960
9624,12661
5510,9644
15708,1272
1010,7853
9023,12780
3066,4049
8768,441
21502,5483
3588,3202
20106,15649
9970,4986
3586,13066
1876,528
13984,9106
10005,7921
1545,16101
1005,2215
20835,12000
18191,8640
12998,7331
1378,65
21309,10598
21174,10532
20072,12194
14530,3594
8712,1275
11756,16494
2053,12568
19849,12286
20891,13279
5447,16556
14709,7815
4097,5727
10645,528
3107,2827
19481,5624
4356,3222
2184,6347
4939,1700
1054,49
5007,1270
4540,1192
21693,16495
5879,13184
19924,15721
10109,3558
8682,16343
4518,10539
17195,1425
17382,13586
16955,8192
3211,11358
20175,14738
5383,643
14730,1110
12867,14858
13758,3560
21803,4148
11172,12724
8753,4844
2805,7190
10213,16494
6869,11838
4047,2721
3263,3794
12791,7720
6034,7985
20882,6262
15374,3602
11514,13019
1359,3576
12301,14487
7020,13948
13585,10799
4048,501
7256,682
1141,14935
9210,4170
3557,5584
7736,15076
8249,2478
7735,14546
6162,2353
7027,400
18948,3387
13727,1220
5805,6063
14498,11360
11128,14246
16525,1486
4786,9236
11403,10739
3502,15651
5314,3735
7042,4987
4300,10067
18105,10796
20058,2643
16865,1511
13361,13350
16917,15641
19830,8262
7117,5354
8183,5272
10039,9277
11976,580
11878,609
8545,14022
3500,10134
20384,3737
5415,13809
21506,10052
21269,14595
21292,13772
15337,12424
11152,13744
3808,561
2837,1183
2446,12444
1497,1993
7981,9456
15277,5958
3025,14527
4609,16431
10829,12897
5224,3836
5262,11142
10209,2111
2023,13936
7623,15141
15741,2259
10208,11487
6644,15841
280,6947
1993,1279
5394,256
3662,9228
4309,14975
18659,2007
19901,3867
2034,9381
16017,15784
9427,11158
20375,5457
21815,11844
12797,640
21678,16252
13808,14817
579,15931
16030,3951
11649,16295
8995,13279
19798,13560
1634,12350
95,10924
3097,7163
9627,16273
14924,14702
3093,16544
1417,9282
1747,4068
11166,11226
4808,9486
19034,14638
20399,14350
1579,7187
10985,15565
14565,1219
707,12893
11024,12924
8574,15040
7808,7772
1415,13375
3572,9667
2757,7150
3808,4986
8431,874
9240,10864
599,5087
13300,16420
11838,8878
6925,15252
2300,13177
11636,1655
7749,14939
14388,15416
17056,11957
8036,13670
10703,4466
421,2557
4985,5918
19865,15592
7676,14729
5940,10577
6263,16323
1989,93
16520,4008
15895,12493
6850,11957
14447,14095
10220,13066
17784,1594
1842,12881
9391,722
4551,7976
17870,6289
14650,10600
12992,7591
4930,15251
19119,16332
15268,1161
5361,9879
20978,14543
2277,12543
1716,12631
5552,1191
5511,13491
17171,12650
13372,9051
1475,71
5712,3419
11416,15799
893,13591
10057,6871
10579,15240
20351,5307
17538,3559
9017,8309
4526,1372
3131,14844
5803,4928
13729,14435
15102,16356
4103,11293
14427,1231
1487,551
11779,10396
18439,5461
8177,1283
6090,9843
17598,1517
22042,12938
17497,3423
3454,14438
22471,16129
19608,14912
10336,15524
5647,5563
4004,13575
577,12046
8112,14104
5033,7478
17611,12932
8530,8635
14305,8536
8479,9588
4417,12639
9096,15988
4741,1203
18079,4112
11974,4689
13362,5932
5817,2258
5274,3074
14862,16266
5361,256
5865,1323
2842,14603
15340,5757
177,10221
440,14347
4496,12234
6021,5037
1236,14474
8441,8873
14071,925
12768,11232
887,4101
11036,555
547,6609
3084,7038
1161,2005
11122,16274
12586,5915
666,15291
12626,10375
14395,8944
3322,5513
1784,2336
18111,15580
21062,16038
22535,7913
916,40
251,16080
5378,3738
821,7493
14601,16515
11100,8359
8662,9595
16993,10235
13539,15224
16985,15569
17182,7932
1455,10175
2396,12635
1534,10072
18241,11385
6160,13862
476,8691
2021,15673
2330,10846
17599,13710
22357,15461
1296,16519
7989,11532
3560,13060
19064,13756
3401,13498
458,16189
4591,12588
16566,11904
20299,4385
6695,2569
18858,15536
17195,15354
5547,10483
21260,12756
17334,6525
14423,1023
5573,15958
8819,3487
2129,15612
19674,3187
15654,14791
1916,89
15037,2234
17135,9232
22224,16083
6207,14283
13555,8144
16751,12489
17854,6783
16046,10887
15981,7298
