user,item
16644,11944
10670,16337
404,4841
14524,3437
282,540
19584,10010
1455,9381
11509,15237
2803,12043
9211,4757
186,14776
12292,3928
8595,13211
1272,12859
8595,14630
1379,14879
230,6818
18538,14679
4510,13746
17317,13028
4328,786
4950,10142
2070,14475
1247,11889
3073,14862
1995,11695
12247,7152
334,11404
2411,14376
10857,4398
2029,12905
4982,10891
1577,13316
6414,12386
1146,3436
188,6008
21147,3449
13755,4277
10995,9169
16448,6022
4604,3595
1612,539
6420,14235
10590,15000
7333,13155
13609,11022
17430,1732
6599,14862
3608,2397
2765,2857
4337,14474
11577,12277
18410,9884
4228,7503
781,2591
5442,10841
1691,5995
18743,7359
21547,10115
15458,10434
16992,12849
5554,8613
785,11868
13810,16357
4699,476
21252,10699
21603,16119
5668,13921
12092,15569
5675,3048
6801,10509
15942,6396
12501,13910
13034,8032
16595,9056
4795,15197
6877,15721
6098,13252
12288,11943
19243,11014
18820,3196
17083,2718
11128,556
4711,2605
12184,11566
12945,649
5115,248
22305,13096
3821,5284
13639,11804
18932,9558
2760,3951
11921,10945
1492,5832
3189,9640
5479,9153
4806,233
18098,1733
4988,16536
4578,6886
16583,12035
1488,7804
9065,15449
16637,6336
12880,13623
6120,14718
1610,13520
17914,16176
4785,353
18642,10772
5017,15265
10671,12539
3504,7384
2501,11565
5829,6281
15463,1291
6507,15421
4724,3313
10065,12147
7262,3233
20049,8335
5677,4095
3126,11361
17943,16171
2006,12006
12912,16257
6999,12027
13110,2683
2728,11482
16068,5796
9695,10203
12162,10702
15540,2415
18914,2142
1816,7214
3944,6865
4752,12369
10600,9222
4999,11495
21031,13883
5940,286
14157,15752
11163,14086
6409,15612
18485,7384
21706,12830
13672,12882
3848,12450
5913,9086
9330,8248
15300,11556
18629,3800
19800,7745
8139,4047
9422,15866
11173,11222
15030,12247
1454,2394
19607,15359
3790,8170
7369,12722
1117,9198
1227,16403
9965,16400
17571,15402
18036,1708
6205,9273
16040,9143
20229,5637
14826,12386
4834,7118
3012,10713
1182,5533
4052,493
11379,16400
3295,16178
1145,14813
8497,12754
14596,3965
386,15636
2488,11865
11755,8531
7428,1484
21213,10782
16390,2359
9981,7156
21979,13320
19609,14734
1937,15922
10258,999
3076,15406
8932,6560
9030,3522
5491,12310
994,6980
3092,13583
6593,3677
19987,4032
8441,12027
5914,11691
22579,14608
6178,7491
3989,226
7810,12458
18245,9531
5486,6109
4987,6693
4411,8670
6328,9785
20087,2847
1148,12250
10890,9220
12589,9188
18910,2807
11302,16437
11233,13823
5872,15175
10814,8525
1879,6311
10802,12727
17808,15595
6948,1124
2777,9433
21928,12552
2585,11703
18968,13232
