user,item
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,11
15,14
16,15
17,16
18,17
19,18
20,19
21,0
22,20
23,21
24,22
25,23
26,24
27,25
28,26
29,27
30,28
31,29
32,30
33,31
34,32
35,7
36,33
37,34
38,35
39,36
40,37
41,38
42,39
43,40
44,41
45,42
46,43
47,44
48,45
49,46
50,47
51,48
52,49
53,50
54,51
55,52
56,53
57,54
58,55
59,56
60,57
61,58
62,59
63,60
64,61
65,62
66,63
67,64
68,65
69,66
70,67
71,68
72,69
73,70
74,71
75,72
76,73
77,74
78,5
79,75
80,76
81,77
82,78
83,79
84,80
85,81
86,82
87,83
88,84
89,85
90,86
91,87
92,88
93,89
94,90
95,44
96,91
97,92
98,69
99,93
100,94
101,95
102,96
103,97
104,98
105,99
106,100
107,101
108,102
109,103
110,104
111,105
112,73
113,106
114,107
115,108
116,109
117,110
118,111
119,112
120,113
121,114
122,115
123,116
124,117
125,7
126,118
127,119
128,120
129,121
130,122
131,123
132,124
133,102
134,125
135,51
136,8
137,126
138,127
139,128
140,129
141,105
142,130
143,8
144,102
145,131
146,132
147,133
148,127
149,124
150,134
151,135
152,136
153,123
154,137
155,138
156,139
157,16
158,60
159,140
160,141
161,142
162,143
163,144
143,145
164,146
165,147
166,138
167,51
168,83
169,148
170,149
171,150
172,151
173,152
174,153
175,154
176,155
177,156
178,155
179,157
180,158
181,159
182,160
183,161
184,162
46,75
185,163
186,164
102,165
187,166
188,62
189,167
190,25
191,168
192,169
193,170
194,115
195,171
196,172
197,173
198,40
199,174
200,175
201,176
202,177
203,178
204,179
205,180
206,181
207,182
208,177
209,183
210,184
132,185
211,115
212,103
213,186
214,187
215,188
216,189
217,190
218,191
219,192
220,183
50,193
221,194
222,195
223,196
224,197
225,198
226,199
227,75
228,200
229,201
230,202
231,51
232,203
233,204
46,169
234,205
235,206
236,207
237,208
238,209
239,210
240,52
241,211
4,212
242,213
243,214
244,215
245,216
246,217
247,218
248,86
249,215
250,219
251,220
252,39
253,221
166,222
254,223
255,224
256,225
257,226
258,227
19,228
259,229
260,230
261,231
262,232
263,155
264,233
265,234
266,235
267,126
268,236
269,237
270,238
271,239
272,240
273,241
274,242
275,243
276,244
277,8
278,245
0,246
279,247
280,157
281,248
282,249
283,250
284,251
285,252
286,253
287,254
288,255
289,256
290,51
291,257
292,258
293,259
294,79
295,260
296,261
297,170
298,262
87,121
299,263
228,189
300,264
301,265
302,115
303,266
304,42
305,267
306,268
307,25
308,269
309,270
310,271
311,272
312,33
313,273
314,115
315,274
316,275
317,276
318,277
319,278
320,279
321,169
80,280
322,281
323,181
324,282
325,109
326,283
327,284
328,285
329,286
330,179
331,287
332,288
333,289
334,143
335,290
336,291
337,207
338,292
339,179
340,79
341,22
342,293
343,294
344,295
345,254
346,257
347,164
348,296
349,297
311,259
350,25
351,298
352,299
353,110
354,300
355,263
356,301
357,302
358,303
359,304
360,305
361,43
362,306
363,307
364,308
365,309
366,150
367,310
368,291
369,311
370,26
371,312
372,313
373,37
374,314
375,315
376,316
377,317
378,318
379,89
380,319
381,144
382,26
383,320
384,216
385,183
227,321
386,56
387,316
388,322
350,51
263,196
389,323
390,308
391,87
392,324
393,325
387,145
394,234
395,326
396,92
397,327
203,328
398,329
399,274
400,65
401,150
402,330
403,331
404,190
405,226
406,159
407,25
408,332
409,333
410,334
411,335
412,174
413,336
414,145
415,337
416,73
417,338
78,339
418,181
143,340
419,341
420,56
421,342
422,343
423,344
424,345
425,346
426,347
427,150
428,348
429,192
5,281
430,349
431,350
432,351
433,333
434,352
435,353
436,354
437,355
438,356
439,246
440,357
441,171
262,315
442,358
443,190
444,359
445,253
446,360
447,53
448,264
449,361
450,362
451,188
452,59
453,363
454,51
455,364
456,170
457,183
458,254
93,365
363,366
459,367
460,368
461,369
462,63
463,321
67,202
464,7
465,178
466,370
467,14
134,47
468,371
469,372
470,28
471,288
472,373
473,150
474,374
475,375
476,376
387,377
477,170
442,64
478,25
479,83
480,248
481,308
482,378
483,207
484,379
451,380
485,381
486,382
487,383
488,303
489,217
490,176
491,155
492,127
493,254
494,155
495,384
496,385
497,386
498,240
499,387
179,388
500,389
501,390
502,391
503,392
24,393
504,278
505,141
362,394
506,395
507,126
508,396
340,262
509,397
510,398
511,347
512,97
513,399
514,7
515,298
516,400
337,401
517,192
518,174
519,402
520,61
521,403
522,404
523,405
524,110
457,406
525,407
526,39
527,408
528,113
529,409
530,410
531,95
532,111
533,411
534,8
535,214
536,16
537,342
538,121
539,404
540,412
541,413
542,414
427,38
543,415
544,416
545,82
546,95
547,169
277,417
548,230
209,418
549,419
550,362
551,420
552,421
553,422
554,423
555,82
556,424
557,181
558,425
559,404
204,426
560,125
561,427
562,428
563,109
564,429
565,430
566,115
567,7
568,431
569,65
570,432
571,127
572,433
573,434
574,435
575,65
576,183
577,436
448,437
578,438
547,335
579,439
580,440
581,169
582,62
583,441
584,165
585,245
586,442
587,443
588,444
589,445
429,446
590,65
591,447
592,448
593,449
59,403
594,262
595,450
596,451
498,452
597,453
598,454
471,455
599,456
489,457
600,348
601,458
417,148
602,459
603,410
604,299
605,113
606,341
607,455
334,112
253,460
608,340
609,113
610,279
611,461
612,462
613,7
614,463
195,177
615,23
616,258
617,331
618,464
619,121
620,465
621,466
622,467
623,468
624,111
625,469
626,470
627,226
628,471
629,159
630,472
631,473
632,474
633,13
634,475
635,452
636,476
386,216
637,477
638,58
111,320
639,182
640,303
641,478
642,391
643,111
132,479
644,143
645,436
646,250
647,320
648,480
649,481
650,160
651,109
652,482
6,253
653,483
346,19
654,484
655,485
656,486
657,115
658,487
659,488
660,489
661,490
662,491
663,492
664,287
665,493
666,494
667,84
668,495
669,126
670,419
671,269
195,238
672,406
673,496
674,460
675,234
676,124
615,497
677,113
678,498
192,205
679,399
680,352
681,7
143,499
276,458
381,500
660,501
426,76
682,502
683,403
684,93
685,82
686,289
501,503
687,277
688,504
689,505
690,51
691,506
692,507
693,176
694,297
695,508
696,509
697,510
698,496
455,511
699,512
700,234
701,173
702,282
161,513
703,514
704,515
705,516
161,159
706,517
707,316
708,518
709,403
710,315
711,450
712,250
713,519
261,477
714,517
715,520
716,521
717,50
718,53
719,331
720,276
721,522
722,454
723,388
724,282
725,272
726,44
727,90
551,523
657,524
728,525
729,460
730,143
731,526
732,527
733,528
681,529
734,108
735,527
736,120
737,377
738,530
739,531
740,257
741,532
742,309
743,533
744,534
745,535
746,536
747,150
748,537
346,450
749,68
750,370
751,210
263,347
752,8
753,375
754,538
755,539
756,298
757,540
758,147
759,107
101,520
760,329
761,46
762,56
757,541
763,248
764,542
765,28
766,42
767,117
768,169
769,252
770,543
771,308
275,282
772,544
773,415
774,145
775,545
776,419
777,546
778,547
779,244
719,435
460,435
780,548
603,90
781,549
551,124
782,550
783,551
784,159
111,552
517,335
785,421
786,553
586,53
787,434
788,527
789,38
790,110
102,304
791,112
792,234
793,554
794,555
795,460
796,450
797,556
798,490
716,557
799,558
321,85
800,559
801,560
802,406
803,318
804,443
805,561
806,507
807,502
808,562
809,431
810,317
811,179
741,179
355,563
812,125
813,564
814,565
815,566
816,296
817,538
818,567
819,568
820,359
821,569
683,192
822,442
823,50
824,404
825,337
826,445
827,570
828,571
829,95
830,262
831,403
832,462
30,572
833,93
589,47
834,469
835,437
836,266
837,85
838,573
839,574
840,407
841,406
842,575
843,109
844,223
845,576
460,183
846,290
847,398
848,577
849,218
850,145
851,76
852,378
853,48
854,578
855,223
856,264
857,579
442,308
858,210
859,51
860,141
861,216
862,268
863,580
864,8
678,236
865,274
866,474
867,410
868,346
869,581
870,582
871,43
19,327
872,259
873,179
874,583
875,584
876,553
877,397
27,115
878,193
500,468
879,159
880,585
881,586
882,587
883,303
884,388
885,588
587,589
886,533
887,590
888,169
312,63
889,469
890,591
891,592
212,593
892,308
15,594
893,68
894,335
895,544
896,109
897,163
898,595
899,53
45,596
900,597
901,543
902,567
855,83
685,113
903,298
904,361
905,43
906,484
27,443
907,598
908,599
547,56
909,600
910,601
911,549
912,602
913,376
914,68
185,510
915,234
916,603
681,225
917,604
681,605
918,295
919,606
920,82
921,607
922,608
923,578
924,326
409,509
925,370
461,347
926,609
927,230
928,334
929,610
87,159
513,603
930,182
931,145
932,310
933,611
934,468
935,612
936,596
937,4
32,350
938,613
939,389
159,181
916,79
940,614
270,609
941,277
942,615
943,616
944,617
945,58
946,618
947,619
948,620
949,538
950,335
951,621
952,491
953,231
757,622
954,63
955,620
956,623
715,95
