user,item
7909,13310
11406,7019
4801,5708
7256,1117
1201,7770
13103,10055
5009,10943
8184,5929
8351,3901
202,6399
11539,13798
15827,5228
13458,4396
2658,63
2966,7582
4338,12608
15288,6972
4430,6354
5888,667
3558,10158
3324,8601
13832,2653
10819,3048
8296,154
7520,11496
4178,2150
2699,6273
14335,1710
15347,1941
2402,2172
11173,1973
4905,11181
15462,8418
6360,5230
1177,6529
8978,5804
15802,7837
9034,6552
760,13304
3863,562
1506,3304
8595,8929
6946,7869
15076,11218
98,7827
7595,3401
15262,9548
6959,1745
3742,1436
12272,10357
2271,1642
7170,388
2725,10564
2349,4672
1969,4817
3510,5297
910,8965
9661,6255
1552,6680
11375,1871
552,4606
910,6353
12367,69
7025,335
1356,721
14414,13840
1903,13302
9146,4753
12770,4352
3008,10803
12871,11754
9921,9122
10999,9542
1010,1511
2146,5774
23,4352
15473,11403
6471,3442
9964,415
2458,10354
12596,8006
1858,12829
7739,2278
15644,3474
13620,1891
13814,9903
15741,11124
3981,4372
1629,4376
9428,530
4952,11865
977,1751
3608,9057
11614,9960
90,13198
11247,1877
2678,1604
1974,7152
263,13303
200,10082
2487,7139
10400,1978
8125,7751
12073,11186
11022,3330
13923,1443
8254,1752
12642,3291
13821,13281
449,3275
1013,9902
8896,13951
3199,11266
10553,9721
5474,699
294,7457
41,4732
15395,5841
2323,12290
1060,7286
2755,431
13647,2604
14811,4650
5452,12800
5169,3038
8823,6271
10376,4478
10237,1976
5881,12830
5215,5592
8584,103
294,12645
239,3179
11175,1211
5373,9183
2305,10152
8408,10853
7437,5197
4917,5750
3691,1603
8026,2246
9214,3958
293,6155
2338,9359
7339,2764
14662,9924
7879,7154
3883,9987
6601,8118
7649,9647
4300,12305
403,8792
10830,3307
9024,5363
12885,1672
10763,6904
5028,3630
7721,9269
25,7172
13512,11460
440,4806
11550,2055
13793,6352
757,10790
14932,12955
2172,4374
15848,10339
3234,13905
6710,10157
10242,3561
184,453
9649,3309
591,10687
1465,2896
5634,713
11105,5803
3110,5882
2397,2389
819,8299
932,4585
14125,13967
1688,10057
13276,12934
6993,13011
997,11842
315,12456
3727,3769
15631,5867
1890,10653
15726,8313
13877,3706
485,3183
10814,3024
1551,2705
14329,8034
7310,11964
5693,12728
13942,11343
11171,1500
3205,2719
9147,11701
14522,9175
6374,2893
6256,1491
3701,3500
4491,2820
3169,12912
11340,11393
9266,4612
3877,2880
278,11275
2315,7751
5276,9262
4248,4875
15828,4908
6248,14019
2458,4454
2217,1074
1092,13629
2976,11889
1967,5163
4370,1478
231,257
7055,660
11977,1831
3239,3195
1128,12826
14354,13142
8624,4472
9120,4418
7081,110
9473,2340
13031,7941
9848,6128
1579,7627
953,7520
3900,3552
9633,142
7747,11672
2759,9727
419,89
12599,6065
13339,4465
8273,2880
8886,8815
8530,2737
14300,2361
1958,4011
9732,3094
12035,3547
14146,4217
9038,5782
2973,6196
11207,7588
8105,3040
8584,8574
2802,12019
13851,5214
3872,3127
11137,11347
12035,12041
11696,7982
2114,5747
10042,2777
9417,10400
1994,12568
7912,10434
10088,4508
11975,2543
14538,7174
9923,12827
1452,10408
621,13092
4848,6134
4793,9953
7855,4377
11785,1493
15525,6483
4003,6087
8217,3032
8878,8591
5798,3350
4645,13310
1171,5824
10120,7487
1522,6545
5036,8544
14811,8144
13104,5223
10955,3798
5013,11400
15023,9069
11017,4941
7997,10077
6735,12955
1717,4699
4003,8754
3192,11938
79,75
4366,12764
10014,535
8639,8584
3322,7139
1532,622
621,4492
5574,9240
7179,3065
7359,4893
5098,1032
1526,7982
5369,2929
8953,2427
7160,1070
1726,12768
4661,8597
5783,7613
112,9366
1604,12854
3555,7643
14114,1993
1803,347
1986,1921
14462,7284
13942,7175
3494,11732
9782,4890
14325,7488
8653,3190
12567,6547
12320,12822
3228,4456
11186,6526
3856,152
9715,8072
11680,7368
1669,969
7772,6713
2172,8790
6551,8627
6381,5988
748,1580
13196,9518
1128,3185
232,12381
