user,item
8116,13010
11122,1527
1358,7120
1455,10408
11575,4358
4079,9103
1008,10093
10465,8123
11942,7326
12578,4247
8838,11985
1971,5598
3424,377
9189,4842
2678,9038
3924,9207
6123,4711
11774,5025
9125,8309
1317,12537
1201,13988
14683,1662
1071,9609
11763,5938
995,11882
10615,1725
1175,3874
13940,3366
12562,13932
14774,13222
4243,2670
11301,5248
1201,3719
320,1626
5452,76
2585,10031
6254,1004
15833,6601
2142,4891
12974,10177
5183,8752
11171,10041
15670,3330
840,6518
15055,7795
553,468
8036,12500
7833,4457
636,387
1024,11984
828,5928
6133,3052
6269,13734
4733,11153
5786,2916
13821,12750
6868,11324
1792,11590
15351,2029
8355,2629
1595,275
19,12932
8682,12877
4978,1516
6799,5932
7339,6143
2793,8157
1609,2968
3851,3183
5830,4889
3110,13039
3558,3036
8528,2880
4575,7094
4585,10230
2232,9104
13002,1336
7866,2095
12688,8386
12491,400
6070,2897
4324,4354
10348,12538
7146,9197
7580,188
11941,3617
15711,2980
3241,7120
12896,10283
2976,2410
4105,1720
3824,10869
4070,11687
5916,5302
5139,1033
5469,11538
2542,4519
2232,12645
6645,404
11789,5700
7655,6370
11069,11187
8865,6867
2519,12393
13178,12845
5846,1715
2747,6324
9916,1728
2548,13985
5092,7426
1594,988
2478,8638
5381,12531
2055,1829
5093,11580
231,874
1035,9917
8585,11772
1700,7164
5584,4767
13232,7036
7909,8393
13006,7695
5760,6995
4846,11890
9553,1314
13359,4950
5094,9523
3719,6274
5335,6052
14369,2964
6601,13803
9088,1547
4371,2131
2126,4499
5032,12714
7436,6110
2870,4514
11830,10387
18,1570
10415,7025
15930,10962
5277,13280
4762,4691
6411,3039
10379,551
1046,3059
8381,12623
1125,10169
5225,159
9298,12342
11870,1719
7620,8235
12075,1659
7106,4608
11615,7616
9766,1334
953,1158
18,10567
3364,5819
11741,7441
4929,2969
8573,9336
3941,4654
1860,7783
632,8693
1521,4752
2391,12386
4153,7234
5148,4939
2768,4957
4114,7876
11084,6317
6111,13552
12985,14068
3901,7543
4912,7180
11712,1069
9205,7215
4012,4749
13259,6008
75,8968
5915,10470
14274,4356
3852,10110
9527,7352
552,4527
11590,3794
674,1447
2858,5994
5197,25
954,9141
1601,13331
1349,1665
8367,3654
10551,9062
584,13364
4428,9557
11390,4909
2343,13144
812,11323
8641,8991
3998,4527
1769,9865
8156,11512
9173,6768
400,6263
1187,2729
3058,4970
2889,12737
4176,12556
10814,2620
4607,11356
2306,7085
2188,7148
502,9948
1243,8484
2891,8648
23,12147
127,11523
12170,1615
2310,8814
9280,4102
10200,3571
663,4258
14468,12750
10475,12822
190,5797
10968,1662
1465,13430
3110,12728
4886,2318
9555,744
15412,7299
11390,2945
6164,8636
5726,4429
6268,3841
12041,2595
3076,4736
3784,418
2221,9272
5093,1236
2603,4581
3479,4455
492,4767
12185,8571
14667,2583
6135,12751
3454,8487
4881,11582
401,13175
889,12800
6703,9021
9678,657
1024,10682
1306,8766
12551,3345
1382,8544
1821,10184
9335,7234
11224,124
144,56
5872,6087
3038,6406
8413,8515
812,5294
13889,9667
3077,5813
381,7689
1627,556
15322,2888
13838,12126
87,3882
2211,5812
2681,18
4907,7354
12305,7226
2807,1529
10318,2266
649,12354
1043,5065
9562,3504
5290,9668
13417,10541
10213,3578
12144,3491
9106,9902
1003,7344
6439,7736
11887,8358
2737,7957
620,465
6480,11343
2888,5327
4202,10736
3575,10434
3801,11470
9506,5704
1221,11357
1160,11432
1949,693
13872,10664
12659,11107
3119,2744
4801,3634
8647,642
5947,1278
1565,210
809,8497
122,2104
12600,7022
11065,2892
9597,12277
13224,13282
5412,4733
6803,7680
3764,10770
6818,8859
327,3701
1091,10253
4153,12427
8706,2632
537,9690
7104,9785
10255,11188
4554,440
4070,4880
6268,2158
668,1680
3062,460
15526,3085
11334,9776
6947,2966
1607,4655
14744,7087
49,9974
13222,12814
11473,3079
12322,3128
4247,11504
2126,1626
14836,3245
489,9915
6846,7490
14634,11316
5540,6311
13584,12476
15160,12631
10626,1034
9069,4488
1481,691
7919,63
674,2829
819,4349
968,287
15850,4303
14068,6798
2655,4084
5768,8019
15745,5997
6949,11416
5326,1465
6373,4614
4513,12740
12570,9066
3323,7263
8728,8291
5459,11509
2171,6115
10685,10928
5734,7324
1669,77
8540,2972
12325,878
924,10101
8505,1398
2509,1992
3289,1533
1845,10007
4481,9971
2936,3707
840,7445
12330,1812
14954,8932
2289,5808
15264,12092
15236,6447
12517,4244
557,1959
4532,13179
1694,236
15016,9173
4475,3031
14671,2939
10454,4850
14942,2785
8822,12783
938,613
2364,8705
5570,8746
4832,8133
1767,4951
14060,8955
201,4752
10051,12194
5776,7602
11451,1
534,8269
8298,3055
4265,4492
2251,3123
12880,13252
7441,7283
4680,13728
6114,9205
9026,6529
13554,10316
7034,13089
2823,329
12821,10213
24,4365
12383,13035
4905,6941
4558,12895
9395,5943
511,7797
4210,1608
15250,10064
10633,9776
9719,4519
6684,9373
11965,4925
1436,13417
1877,1875
11493,190
10437,7532
3412,2971
1334,3050
11432,709
2804,6513
1719,9141
2207,412
4782,11535
10940,13343
15874,7012
3466,6442
4275,6389
1301,9126
5923,11387
5266,10157
12903,9963
515,298
11475,1965
11797,7092
2011,11770
7252,1454
3280,4171
6446,9451
